No,crystal structure,Fe,Cr,Mn,Si,Co,Mo,Ni,C,Ti,N,B,P,S,Nb,Cu,Ta,Al,V,Mg,W,Zr,dr,tem,irrtype,disden,PreHe,dose
221,bcc,85.546,11.2,0.94,0.37,0,0.04,0.03,0.14,0,0.044,0,0,0,0.01,0,0.17,0,0.29,0,1.17,0.05,0.001149723,748.5,3,3.00E+14,0,177
222,bcc,85.546,11.2,0.94,0.37,0,0.04,0.03,0.14,0,0.044,0,0,0,0.01,0,0.17,0,0.29,0,1.17,0.05,0.000656985,748.5,3,2.80E+15,0,73
223,bcc,85.546,11.2,0.94,0.37,0,0.04,0.03,0.14,0,0.044,0,0,0,0.01,0,0.17,0,0.29,0,1.17,0.05,0.000738585,748.5,3,2.80E+15,0,68.4
224,bcc,85.546,11.2,0.94,0.37,0,0.04,0.03,0.14,0,0.044,0,0,0,0.01,0,0.17,0,0.29,0,1.17,0.05,0.000848431,748.5,3,2.80E+15,0,79
225,bcc,85.546,11.2,0.94,0.37,0,0.04,0.03,0.14,0,0.044,0,0,0,0.01,0,0.17,0,0.29,0,1.17,0.05,0.000980246,748.5,3,2.80E+15,0,98.5
226,fcc,64.01,16.9,1.69,0.58,0,2.3,14,0.057,0.44,0,0,0.023,0,0,0,0,0,0,0,0,0,9.80E-07,683.5,1,3.50E+15,0,51.5
227,fcc,64.01,16.9,1.69,0.58,0,2.3,14,0.057,0.44,0,0,0.023,0,0,0,0,0,0,0,0,0,9.80E-07,728.5,1,3.50E+15,0,59
228,fcc,63.813,16.65,1.8,0.55,0,2.35,14.2,0.062,0.42,0,0,0.155,0,0,0,0,0,0,0,0,0,9.80E-07,683.5,1,3.50E+15,0,66
229,fcc,63.813,16.65,1.8,0.55,0,2.35,14.2,0.062,0.42,0,0,0.155,0,0,0,0,0,0,0,0,0,9.80E-07,728.5,1,3.50E+15,0,73
230,fcc,64.494,17.1,1.6,0.6,0,2.2,13.9,0.055,0,0.019,0,0.029,0.003,0,0,0,0,0,0,0,0,1.23E-06,723.5,1,3.00E+14,0,36
231,fcc,64.494,17.1,1.6,0.6,0,2.2,13.9,0.055,0,0.019,0,0.029,0.003,0,0,0,0,0,0,0,0,4.70E-07,723.5,1,3.00E+14,0,36
232,fcc,64.494,17.1,1.6,0.6,0,2.2,13.9,0.055,0,0.019,0,0.029,0.003,0,0,0,0,0,0,0,0,1.23E-06,773.5,1,3.00E+14,0,38
233,fcc,64.494,17.1,1.6,0.6,0,2.2,13.9,0.055,0,0.019,0,0.029,0.003,0,0,0,0,0,0,0,0,4.70E-07,773.5,1,3.00E+14,0,46
234,fcc,64.494,17.1,1.6,0.6,0,2.2,13.9,0.055,0,0.019,0,0.029,0.003,0,0,0,0,0,0,0,0,1.23E-06,823.5,1,3.00E+14,0,25.33333333
235,fcc,64.494,17.1,1.6,0.6,0,2.2,13.9,0.055,0,0.019,0,0.029,0.003,0,0,0,0,0,0,0,0,4.70E-07,823.5,1,3.00E+14,0,42
236,fcc,64.494,17.1,1.6,0.6,0,2.2,13.9,0.055,0,0.019,0,0.029,0.003,0,0,0,0,0,0,0,0,4.70E-07,835.5,1,3.00E+14,0,18.66666667
237,fcc,64.494,17.1,1.6,0.6,0,2.2,13.9,0.055,0,0.019,0,0.029,0.003,0,0,0,0,0,0,0,0,8.67E-07,835.5,1,3.00E+14,0,25.33333333
238,fcc,64.494,17.1,1.6,0.6,0,2.2,13.9,0.055,0,0.019,0,0.029,0.003,0,0,0,0,0,0,0,0,1.23E-06,835.5,1,3.00E+14,0,39.33333333
239,fcc,66.883,14.7,1.6,0.43,0,1.15,14.7,0.096,0.43,0,0.004,0.007,0,0,0,0,0,0,0,0,0,9.80E-07,733.5,1,3.85E+15,0,64
240,fcc,66.883,14.7,1.6,0.43,0,1.15,14.7,0.096,0.43,0,0.004,0.007,0,0,0,0,0,0,0,0,0,9.80E-07,773.5,1,3.85E+15,0,81
241,fcc,66.883,14.7,1.6,0.43,0,1.15,14.7,0.096,0.43,0,0.004,0.007,0,0,0,0,0,0,0,0,0,9.80E-07,813.5,1,3.85E+15,0,90
242,fcc,63.654,17.1,1.5,0.49,0,2.75,14.1,0.049,0.34,0,0.002,0.015,0,0,0,0,0,0,0,0,0,9.80E-07,733.5,1,3.60E+15,0,46
243,fcc,63.654,17.1,1.5,0.49,0,2.75,14.1,0.049,0.34,0,0.002,0.015,0,0,0,0,0,0,0,0,0,9.80E-07,773.5,1,3.60E+15,0,50
244,fcc,63.654,17.1,1.5,0.49,0,2.75,14.1,0.049,0.34,0,0.002,0.015,0,0,0,0,0,0,0,0,0,9.80E-07,813.5,1,3.60E+15,0,82
245,fcc,64.55,16.2,2,0.8,0,2.5,13.7,0.04,0.2,0,0,0.01,0,0,0,0,0,0,0,0,0,1.20E-06,813.5,1,3.00E+14,0,35
246,fcc,64.525,16.2,2,0.8,0,2.5,13.7,0.04,0.2,0,0,0.035,0,0,0,0,0,0,0,0,0,1.20E-06,813.5,1,3.00E+14,0,40
247,fcc,64.48,16.2,2,0.8,0,2.5,13.7,0.04,0.2,0,0,0.08,0,0,0,0,0,0,0,0,0,1.20E-06,813.5,1,3.00E+14,0,65
248,fcc,67.15,16,1,0.9,0,1.8,13,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,755.5,1,3.60E+15,0,50
249,fcc,67.15,16,1,0.9,0,1.8,13,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,783.5,1,3.60E+15,0,61
250,fcc,67.15,16,1,0.9,0,1.8,13,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,811.5,1,3.60E+15,0,62.5
251,fcc,67.15,16,1,0.9,0,1.8,13,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,700.5,1,3.60E+15,0,45.5
252,fcc,67.15,16,1,0.9,0,1.8,13,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,866.5,1,3.60E+15,0,65
253,fcc,67.15,16,1,0.9,0,1.8,13,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,783.5,1,3.00E+14,0,26.25
254,fcc,67.15,16,1,0.9,0,1.8,13,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,866.5,1,3.00E+14,0,4.5
255,fcc,67.15,16,1,0.9,0,1.8,13,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,727.5,1,3.00E+14,0,27
256,fcc,67.15,16,1,0.9,0,1.8,13,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,700.5,1,3.00E+14,0,24
257,fcc,67.15,16,1,0.9,0,1.8,13,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,923.5,1,3.00E+14,0,20
258,fcc,80.31,16.2,0,0.8,0,2.5,0,0.04,0.01,0,0,0.04,0,0,0,0,0,0,0,0,0.1,1.20E-06,813.5,1,3.00E+14,0,38
259,fcc,80.05,16.2,0,0.8,0,2.5,0,0.04,0.27,0,0,0.04,0,0,0,0,0,0,0,0,0.1,1.20E-06,813.5,1,3.00E+14,0,41
260,fcc,80.12,16.2,0,0.8,0,2.5,0,0.04,0.2,0,0,0.04,0,0,0,0,0,0,0,0,0.1,1.20E-06,813.5,1,3.00E+14,0,42
261,fcc,80.01,16.2,0,0.8,0,2.5,0,0.08,0.27,0,0,0.04,0,0,0,0,0,0,0,0,0.1,1.20E-06,813.5,1,3.00E+14,0,40
